Lat,Lon,Date,Vendor_Count,Stall_Count,Image_File
-23.6,-46.57600000000007,2024-01,0,0,sp_macro_images/macro_-23.60000_-46.57600_2024-01.jpg
-23.6,-46.572000000000074,2024-04,0,1,sp_macro_images/macro_-23.60000_-46.57200_2024-04.jpg
-23.6,-46.55600000000008,2024-08,0,0,sp_macro_images/macro_-23.60000_-46.55600_2024-08.jpg
-23.6,-46.552000000000085,2024-08,0,1,sp_macro_images/macro_-23.60000_-46.55200_2024-08.jpg
-23.596,-46.7,2024-01,0,0,sp_macro_images/macro_-23.59600_-46.70000_2024-01.jpg
-23.596,-46.696000000000005,2024-04,0,0,sp_macro_images/macro_-23.59600_-46.69600_2024-04.jpg
-23.596,-46.69200000000001,2025-04,0,0,sp_macro_images/macro_-23.59600_-46.69200_2025-04.jpg
-23.596,-46.676000000000016,2024-04,1,0,sp_macro_images/macro_-23.59600_-46.67600_2024-04.jpg
-23.596,-46.66800000000002,2024-07,0,0,sp_macro_images/macro_-23.59600_-46.66800_2024-07.jpg
-23.596,-46.660000000000025,2023-07,0,3,sp_macro_images/macro_-23.59600_-46.66000_2023-07.jpg
-23.596,-46.65200000000003,2024-12,0,0,sp_macro_images/macro_-23.59600_-46.65200_2024-12.jpg
-23.596,-46.64800000000003,2025-01,0,0,sp_macro_images/macro_-23.59600_-46.64800_2025-01.jpg
-23.596,-46.644000000000034,2025-01,0,0,sp_macro_images/macro_-23.59600_-46.64400_2025-01.jpg
-23.596,-46.63200000000004,2024-12,0,0,sp_macro_images/macro_-23.59600_-46.63200_2024-12.jpg
-23.596,-46.62800000000004,2024-12,0,0,sp_macro_images/macro_-23.59600_-46.62800_2024-12.jpg
-23.596,-46.624000000000045,2024-07,1,1,sp_macro_images/macro_-23.59600_-46.62400_2024-07.jpg
-23.596,-46.61600000000005,2024-01,0,1,sp_macro_images/macro_-23.59600_-46.61600_2024-01.jpg
-23.596,-46.61200000000005,2024-01,0,0,sp_macro_images/macro_-23.59600_-46.61200_2024-01.jpg
-23.596,-46.608000000000054,2024-07,0,0,sp_macro_images/macro_-23.59600_-46.60800_2024-07.jpg
-23.596,-46.604000000000056,2023-03,0,0,sp_macro_images/macro_-23.59600_-46.60400_2023-03.jpg
-23.596,-46.59600000000006,2024-01,0,1,sp_macro_images/macro_-23.59600_-46.59600_2024-01.jpg
-23.596,-46.59200000000006,2025-06,0,3,sp_macro_images/macro_-23.59600_-46.59200_2025-06.jpg
-23.596,-46.588000000000065,2024-08,0,1,sp_macro_images/macro_-23.59600_-46.58800_2024-08.jpg
-23.596,-46.58400000000007,2024-07,0,0,sp_macro_images/macro_-23.59600_-46.58400_2024-07.jpg
-23.596,-46.58000000000007,2024-01,0,0,sp_macro_images/macro_-23.59600_-46.58000_2024-01.jpg
-23.596,-46.57600000000007,2023-03,0,0,sp_macro_images/macro_-23.59600_-46.57600_2023-03.jpg
-23.596,-46.572000000000074,2023-03,0,0,sp_macro_images/macro_-23.59600_-46.57200_2023-03.jpg
-23.596,-46.568000000000076,2024-01,0,0,sp_macro_images/macro_-23.59600_-46.56800_2024-01.jpg
-23.596,-46.56000000000008,2024-08,0,0,sp_macro_images/macro_-23.59600_-46.56000_2024-08.jpg
-23.596,-46.55600000000008,2023-03,0,0,sp_macro_images/macro_-23.59600_-46.55600_2023-03.jpg
-23.596,-46.552000000000085,2024-08,0,1,sp_macro_images/macro_-23.59600_-46.55200_2024-08.jpg
-23.592,-46.69200000000001,2025-05,0,0,sp_macro_images/macro_-23.59200_-46.69200_2025-05.jpg
-23.592,-46.68400000000001,2024-11,0,2,sp_macro_images/macro_-23.59200_-46.68400_2024-11.jpg
-23.592,-46.680000000000014,2024-11,0,0,sp_macro_images/macro_-23.59200_-46.68000_2024-11.jpg
-23.592,-46.67200000000002,2024-04,1,2,sp_macro_images/macro_-23.59200_-46.67200_2024-04.jpg
-23.592,-46.66800000000002,2024-04,0,0,sp_macro_images/macro_-23.59200_-46.66800_2024-04.jpg
-23.592,-46.65600000000003,2024-04,0,0,sp_macro_images/macro_-23.59200_-46.65600_2024-04.jpg
-23.592,-46.65200000000003,2024-07,0,1,sp_macro_images/macro_-23.59200_-46.65200_2024-07.jpg
-23.592,-46.640000000000036,2024-12,0,1,sp_macro_images/macro_-23.59200_-46.64000_2024-12.jpg
-23.592,-46.63600000000004,2024-07,0,1,sp_macro_images/macro_-23.59200_-46.63600_2024-07.jpg
-23.592,-46.62800000000004,2024-12,0,0,sp_macro_images/macro_-23.59200_-46.62800_2024-12.jpg
