Lat,Lon,Date,Vendor_Count,Stall_Count,Image_File,Nighttime_Radiance
-23.588,-46.604000000000056,2025-01,1,0,sp_macro_images/macro_-23.58800_-46.60400_2025-01.jpg,89.43
-23.588,-46.59600000000006,2024-12,0,0,sp_macro_images/macro_-23.58800_-46.59600_2024-12.jpg,91.02
-23.588,-46.59200000000006,2024-01,0,0,sp_macro_images/macro_-23.58800_-46.59200_2024-01.jpg,90.09
-23.588,-46.58800000000007,2024-01,0,0,sp_macro_images/macro_-23.58800_-46.58800_2024-01.jpg,82.45
-23.588,-46.58400000000007,2024-01,0,3,sp_macro_images/macro_-23.58800_-46.58400_2024-01.jpg,80.85
-23.588,-46.57600000000007,2024-08,0,0,sp_macro_images/macro_-23.58800_-46.57600_2024-08.jpg,72.56
-23.588,-46.57200000000008,2025-09,0,1,sp_macro_images/macro_-23.58800_-46.57200_2025-09.jpg,75.51
-23.588,-46.56800000000008,2024-07,0,0,sp_macro_images/macro_-23.58800_-46.56800_2024-07.jpg,64.14
-23.588,-46.56400000000008,2024-01,0,1,sp_macro_images/macro_-23.58800_-46.56400_2024-01.jpg,53.54
-23.588,-46.56000000000008,2024-01,0,0,sp_macro_images/macro_-23.58800_-46.56000_2024-01.jpg,58.31
-23.584,-46.7,2024-01,0,1,sp_macro_images/macro_-23.58400_-46.70000_2024-01.jpg,46.44
-23.584,-46.68800000000001,2024-04,0,0,sp_macro_images/macro_-23.58400_-46.68800_2024-04.jpg,91.25
-23.584,-46.68400000000001,2024-02,0,2,sp_macro_images/macro_-23.58400_-46.68400_2024-02.jpg,122.28
-23.584,-46.680000000000014,2024-02,0,0,sp_macro_images/macro_-23.58400_-46.68000_2024-02.jpg,109.38
-23.584,-46.676000000000016,2024-04,0,0,sp_macro_images/macro_-23.58400_-46.67600_2024-04.jpg,97.41
-23.584,-46.66800000000002,2024-04,0,0,sp_macro_images/macro_-23.58400_-46.66800_2024-04.jpg,91.12
-23.584,-46.66400000000002,2024-02,0,0,sp_macro_images/macro_-23.58400_-46.66400_2024-02.jpg,67.68
-23.584,-46.65200000000003,2024-02,0,0,sp_macro_images/macro_-23.58400_-46.65200_2024-02.jpg,97.82
-23.584,-46.644000000000034,2024-02,0,0,sp_macro_images/macro_-23.58400_-46.64400_2024-02.jpg,81.52
-23.584,-46.64000000000004,2025-01,0,0,sp_macro_images/macro_-23.58400_-46.64000_2025-01.jpg,83.16
-23.584,-46.63200000000004,2025-01,2,1,sp_macro_images/macro_-23.58400_-46.63200_2025-01.jpg,72.25
-23.584,-46.62800000000004,2024-02,0,1,sp_macro_images/macro_-23.58400_-46.62800_2024-02.jpg,63.61
-23.584,-46.624000000000045,2024-02,0,0,sp_macro_images/macro_-23.58400_-46.62400_2024-02.jpg,61.99
-23.584,-46.62000000000005,2024-02,0,0,sp_macro_images/macro_-23.58400_-46.62000_2024-02.jpg,67.75
-23.584,-46.61200000000005,2024-06,0,0,sp_macro_images/macro_-23.58400_-46.61200_2024-06.jpg,74.58
-23.584,-46.60800000000005,2024-04,1,1,sp_macro_images/macro_-23.58400_-46.60800_2024-04.jpg,89.5
-23.584,-46.604000000000056,2024-04,0,0,sp_macro_images/macro_-23.58400_-46.60400_2024-04.jpg,92.38
-23.584,-46.60000000000006,2025-06,0,0,sp_macro_images/macro_-23.58400_-46.60000_2025-06.jpg,95.39
-23.584,-46.58800000000007,2024-04,0,1,sp_macro_images/macro_-23.58400_-46.58800_2024-04.jpg,79.4
-23.584,-46.58000000000007,2024-01,0,0,sp_macro_images/macro_-23.58400_-46.58000_2024-01.jpg,86.49
-23.584,-46.57600000000007,2024-12,0,1,sp_macro_images/macro_-23.58400_-46.57600_2024-12.jpg,86.68
-23.584,-46.57200000000008,2024-01,0,0,sp_macro_images/macro_-23.58400_-46.57200_2024-01.jpg,87.91
-23.584,-46.56800000000008,2024-01,0,1,sp_macro_images/macro_-23.58400_-46.56800_2024-01.jpg,79.17
-23.584,-46.56400000000008,2024-04,0,1,sp_macro_images/macro_-23.58400_-46.56400_2024-04.jpg,76.54
-23.584,-46.56000000000008,2024-04,0,1,sp_macro_images/macro_-23.58400_-46.56000_2024-04.jpg,94.42
-23.584,-46.55600000000008,2023-03,0,3,sp_macro_images/macro_-23.58400_-46.55600_2023-03.jpg,89.79
-23.584,-46.552000000000085,2024-01,0,3,sp_macro_images/macro_-23.58400_-46.55200_2024-01.jpg,76.19
