Lat,Lon,Date,Vendor_Count,Stall_Count,Image_File
-23.738999999999997,-46.69800000000005,2024-01,0,1,sp_full_scan_images/full_-23.73900_-46.69800_2024-01.jpg
-23.738999999999997,-46.69250000000005,2024-01,0,1,sp_full_scan_images/full_-23.73900_-46.69250_2024-01.jpg
-23.738999999999997,-46.687000000000054,2024-01,0,0,sp_full_scan_images/full_-23.73900_-46.68700_2024-01.jpg
-23.738999999999997,-46.68150000000006,2024-01,0,0,sp_full_scan_images/full_-23.73900_-46.68150_2024-01.jpg
-23.738999999999997,-46.67050000000006,2024-01,0,0,sp_full_scan_images/full_-23.73900_-46.67050_2024-01.jpg
-23.738999999999997,-46.66500000000006,2022-01,0,1,sp_full_scan_images/full_-23.73900_-46.66500_2022-01.jpg
-23.738999999999997,-46.659500000000065,2022-01,0,1,sp_full_scan_images/full_-23.73900_-46.65950_2022-01.jpg
-23.738999999999997,-46.61550000000008,2025-06,0,1,sp_full_scan_images/full_-23.73900_-46.61550_2025-06.jpg
-23.738999999999997,-46.60450000000009,2023-08,0,1,sp_full_scan_images/full_-23.73900_-46.60450_2023-08.jpg
-23.738999999999997,-46.59900000000009,2025-06,0,1,sp_full_scan_images/full_-23.73900_-46.59900_2025-06.jpg
-23.738999999999997,-46.59350000000009,2025-06,0,0,sp_full_scan_images/full_-23.73900_-46.59350_2025-06.jpg
-23.738999999999997,-46.582500000000095,2025-06,0,2,sp_full_scan_images/full_-23.73900_-46.58250_2025-06.jpg
-23.738999999999997,-46.5770000000001,2025-06,0,0,sp_full_scan_images/full_-23.73900_-46.57700_2025-06.jpg
-23.738999999999997,-46.5715000000001,2024-08,0,2,sp_full_scan_images/full_-23.73900_-46.57150_2024-08.jpg
-23.738999999999997,-46.5660000000001,2024-09,0,0,sp_full_scan_images/full_-23.73900_-46.56600_2024-09.jpg
-23.738999999999997,-46.555000000000106,2025-06,0,0,sp_full_scan_images/full_-23.73900_-46.55500_2025-06.jpg
-23.738999999999997,-46.54950000000011,2024-08,1,1,sp_full_scan_images/full_-23.73900_-46.54950_2024-08.jpg
-23.738999999999997,-46.53850000000011,2025-07,0,1,sp_full_scan_images/full_-23.73900_-46.53850_2025-07.jpg
-23.738999999999997,-46.533000000000115,2024-09,0,0,sp_full_scan_images/full_-23.73900_-46.53300_2024-09.jpg
-23.738999999999997,-46.52750000000012,2025-07,0,0,sp_full_scan_images/full_-23.73900_-46.52750_2025-07.jpg
-23.738999999999997,-46.511000000000124,2024-07,0,0,sp_full_scan_images/full_-23.73900_-46.51100_2024-07.jpg
-23.738999999999997,-46.50000000000013,2025-07,0,1,sp_full_scan_images/full_-23.73900_-46.50000_2025-07.jpg
-23.738999999999997,-46.49450000000013,2025-07,0,0,sp_full_scan_images/full_-23.73900_-46.49450_2025-07.jpg
-23.738999999999997,-46.47800000000014,2024-08,0,1,sp_full_scan_images/full_-23.73900_-46.47800_2024-08.jpg
-23.738999999999997,-46.47250000000014,2025-07,0,0,sp_full_scan_images/full_-23.73900_-46.47250_2025-07.jpg
-23.738999999999997,-46.44500000000015,2025-07,0,0,sp_full_scan_images/full_-23.73900_-46.44500_2025-07.jpg
-23.738999999999997,-46.43950000000015,2025-07,0,0,sp_full_scan_images/full_-23.73900_-46.43950_2025-07.jpg
-23.738999999999997,-46.406500000000165,2025-07,0,1,sp_full_scan_images/full_-23.73900_-46.40650_2025-07.jpg
-23.738999999999997,-46.38450000000017,2025-08,1,1,sp_full_scan_images/full_-23.73900_-46.38450_2025-08.jpg
-23.733499999999996,-46.79700000000001,2024-06,0,0,sp_full_scan_images/full_-23.73350_-46.79700_2024-06.jpg
-23.733499999999996,-46.79150000000001,2024-06,0,0,sp_full_scan_images/full_-23.73350_-46.79150_2024-06.jpg
-23.733499999999996,-46.786000000000016,2024-06,0,1,sp_full_scan_images/full_-23.73350_-46.78600_2024-06.jpg
-23.733499999999996,-46.714500000000044,2024-05,0,0,sp_full_scan_images/full_-23.73350_-46.71450_2024-05.jpg
-23.733499999999996,-46.709000000000046,2024-05,0,1,sp_full_scan_images/full_-23.73350_-46.70900_2024-05.jpg
-23.733499999999996,-46.70350000000005,2024-01,0,0,sp_full_scan_images/full_-23.73350_-46.70350_2024-01.jpg
-23.733499999999996,-46.69800000000005,2024-01,0,1,sp_full_scan_images/full_-23.73350_-46.69800_2024-01.jpg
-23.733499999999996,-46.69250000000005,2024-01,0,0,sp_full_scan_images/full_-23.73350_-46.69250_2024-01.jpg
-23.733499999999996,-46.687000000000054,2024-01,0,0,sp_full_scan_images/full_-23.73350_-46.68700_2024-01.jpg
-23.733499999999996,-46.67600000000006,2024-01,0,1,sp_full_scan_images/full_-23.73350_-46.67600_2024-01.jpg
-23.733499999999996,-46.659500000000065,2022-01,0,0,sp_full_scan_images/full_-23.73350_-46.65950_2022-01.jpg
-23.733499999999996,-46.637500000000074,2025-06,0,0,sp_full_scan_images/full_-23.73350_-46.63750_2025-06.jpg
-23.733499999999996,-46.632000000000076,2025-06,0,0,sp_full_scan_images/full_-23.73350_-46.63200_2025-06.jpg
-23.733499999999996,-46.62100000000008,2025-06,0,0,sp_full_scan_images/full_-23.73350_-46.62100_2025-06.jpg
-23.733499999999996,-46.60450000000009,2025-10,0,0,sp_full_scan_images/full_-23.73350_-46.60450_2025-10.jpg
-23.733499999999996,-46.59900000000009,2025-06,0,0,sp_full_scan_images/full_-23.73350_-46.59900_2025-06.jpg
-23.733499999999996,-46.59350000000009,2025-06,0,3,sp_full_scan_images/full_-23.73350_-46.59350_2025-06.jpg
-23.733499999999996,-46.58800000000009,2024-08,0,0,sp_full_scan_images/full_-23.73350_-46.58800_2024-08.jpg
-23.733499999999996,-46.582500000000095,2025-06,1,0,sp_full_scan_images/full_-23.73350_-46.58250_2025-06.jpg
-23.733499999999996,-46.5770000000001,2025-06,0,2,sp_full_scan_images/full_-23.73350_-46.57700_2025-06.jpg
-23.733499999999996,-46.5715000000001,2025-06,0,0,sp_full_scan_images/full_-23.73350_-46.57150_2025-06.jpg
-23.733499999999996,-46.54400000000011,2025-06,0,0,sp_full_scan_images/full_-23.73350_-46.54400_2025-06.jpg
-23.733499999999996,-46.53850000000011,2025-06,0,1,sp_full_scan_images/full_-23.73350_-46.53850_2025-06.jpg
