Lat,Lon,Date,Vendor_Count,Stall_Count,Merch_Count,Image_File
-23.542667,-46.626833000000005,2024-07,0,0,1,sp_full_scan_images/sp_-23.542667_-46.626833_2024-07.jpg
-23.542667,-46.626333,2023-04,0,1,0,sp_full_scan_images/sp_-23.542667_-46.626333_2023-04.jpg
-23.542667,-46.625333000000005,2024-01,0,3,0,sp_full_scan_images/sp_-23.542667_-46.625333_2024-01.jpg
-23.542667,-46.624833,2024-01,0,1,0,sp_full_scan_images/sp_-23.542667_-46.624833_2024-01.jpg
-23.542167,-46.633333,2024-07,0,1,0,sp_full_scan_images/sp_-23.542167_-46.633333_2024-07.jpg
-23.542167,-46.632833000000005,2024-07,1,0,1,sp_full_scan_images/sp_-23.542167_-46.632833_2024-07.jpg
-23.542167,-46.632333,2024-01,0,1,0,sp_full_scan_images/sp_-23.542167_-46.632333_2024-01.jpg
-23.542167,-46.630333,2024-07,1,1,0,sp_full_scan_images/sp_-23.542167_-46.630333_2024-07.jpg
-23.542167,-46.627333,2024-07,0,1,0,sp_full_scan_images/sp_-23.542167_-46.627333_2024-07.jpg
-23.542167,-46.626333,2025-02,1,1,0,sp_full_scan_images/sp_-23.542167_-46.626333_2025-02.jpg
-23.542167,-46.625833,2024-07,1,0,0,sp_full_scan_images/sp_-23.542167_-46.625833_2024-07.jpg
-23.542167,-46.624833,2024-01,0,3,0,sp_full_scan_images/sp_-23.542167_-46.624833_2024-01.jpg
-23.542167,-46.624333,2024-07,1,1,0,sp_full_scan_images/sp_-23.542167_-46.624333_2024-07.jpg
-23.541667,-46.633333,2024-07,0,1,0,sp_full_scan_images/sp_-23.541667_-46.633333_2024-07.jpg
-23.541667,-46.632833000000005,2024-07,1,0,0,sp_full_scan_images/sp_-23.541667_-46.632833_2024-07.jpg
-23.541667,-46.630833,2025-06,2,1,0,sp_full_scan_images/sp_-23.541667_-46.630833_2025-06.jpg
-23.541667,-46.629333,2611-09,0,3,0,sp_full_scan_images/sp_-23.541667_-46.629333_2611-09.jpg
-23.541667,-46.628833,2025-10,1,3,0,sp_full_scan_images/sp_-23.541667_-46.628833_2025-10.jpg
-23.541667,-46.627833,2025-05,0,1,0,sp_full_scan_images/sp_-23.541667_-46.627833_2025-05.jpg
-23.541667,-46.627333,2025-05,1,0,0,sp_full_scan_images/sp_-23.541667_-46.627333_2025-05.jpg
-23.541667,-46.625833,2024-07,0,1,0,sp_full_scan_images/sp_-23.541667_-46.625833_2024-07.jpg
-23.541667,-46.625333000000005,2024-07,0,1,0,sp_full_scan_images/sp_-23.541667_-46.625333_2024-07.jpg
-23.541667,-46.624833,2024-01,0,1,0,sp_full_scan_images/sp_-23.541667_-46.624833_2024-01.jpg
-23.541167,-46.633833,2025-06,0,1,0,sp_full_scan_images/sp_-23.541167_-46.633833_2025-06.jpg
-23.541167,-46.633333,2025-06,3,1,0,sp_full_scan_images/sp_-23.541167_-46.633333_2025-06.jpg
-23.541167,-46.632833000000005,2024-07,0,1,0,sp_full_scan_images/sp_-23.541167_-46.632833_2024-07.jpg
-23.541167,-46.632333,2025-11,0,0,1,sp_full_scan_images/sp_-23.541167_-46.632333_2025-11.jpg
-23.541167,-46.631833,2024-01,0,2,0,sp_full_scan_images/sp_-23.541167_-46.631833_2024-01.jpg
-23.541167,-46.631333000000005,2026-01,1,0,0,sp_full_scan_images/sp_-23.541167_-46.631333_2026-01.jpg
-23.541167,-46.630833,2025-06,1,1,0,sp_full_scan_images/sp_-23.541167_-46.630833_2025-06.jpg
-23.541167,-46.628833,2025-06,0,1,0,sp_full_scan_images/sp_-23.541167_-46.628833_2025-06.jpg
-23.541167,-46.627833,2025-01,0,1,0,sp_full_scan_images/sp_-23.541167_-46.627833_2025-01.jpg
-23.541167,-46.626833000000005,2024-07,2,0,0,sp_full_scan_images/sp_-23.541167_-46.626833_2024-07.jpg
-23.541167,-46.626333,2023-01,0,3,0,sp_full_scan_images/sp_-23.541167_-46.626333_2023-01.jpg
-23.541167,-46.625833,2024-07,1,0,0,sp_full_scan_images/sp_-23.541167_-46.625833_2024-07.jpg
-23.541167,-46.624333,2024-07,1,2,0,sp_full_scan_images/sp_-23.541167_-46.624333_2024-07.jpg
-23.540667,-46.634333000000005,2023-01,0,0,1,sp_full_scan_images/sp_-23.540667_-46.634333_2023-01.jpg
-23.540667,-46.633833,2024-04,0,2,0,sp_full_scan_images/sp_-23.540667_-46.633833_2024-04.jpg
-23.540667,-46.633333,2024-07,0,3,0,sp_full_scan_images/sp_-23.540667_-46.633333_2024-07.jpg
-23.540667,-46.632333,2025-06,0,3,0,sp_full_scan_images/sp_-23.540667_-46.632333_2025-06.jpg
